Track,Album Name,Artist,Release Date,Spotify Streams,TrackNameLength
ETA,NewJeans 2nd EP 'Get Up',NewJeans,7/21/2023,"23,42,15,735",3
Jordan,Jordan,Ryan Castro,4/30/2021,"53,58,47,791",6
Take You Dancing,Take You Dancing,Jason Derulo,7/22/2020,"71,63,19,941",14
BUBALU,BUBALU,Feid,9/22/2023,"15,24,87,756",6
Be Alright,Be Alright,Dean Lewis,6/29/2018,"1,74,93,53,402",9
Jalebi Baby,Jalebi Baby,Tesher,11/13/2020,"16,41,37,928",10
Endless Summer,Endless Summer,Alan Walker,7/13/2023,"2,83,40,672",13
Belly Dancer,Belly Dancer,Imanbek,2/18/2022,"54,71,14,702",11
Who Told You (feat. Drake),Who Told You (feat. Drake) - Single,J Hus,6/8/2023,"14,25,74,143",19
NIGHT DANCER,NIGHT DANCER - Single,imase,8/19/2022,"23,91,49,370",11
Yoksun,Yoksun - Single,Ebru Yaï¿½ï,2/2/2024,"3,31,74,286",6
DON'T YOU WORRY,Don't You Worry,Black Eyed Peas,6/16/2022,"30,29,39,117",12
Rowdy Baby (From "Maari 2"),U1 For Life,Dhanush,8/26/2020,"5,82,83,353",19
MIDDLE OF THE NIGHT,MIDDLE OF THE NIGHT,Elley Duhï¿,1/10/2020,"1,10,40,08,150",16
Pickup Man (feat. Post Malone),HIXTAPE Vol. 3: DIFFTAPE (Small Batch),HARDY,11/9/2023,"2,78,91,947",23
Volando (Remix),Volando (Remix),Mora,7/8/2021,"70,19,19,939",12
Moth To A Flame (with The Weeknd),The Highlights (Deluxe),Swedish House Mafia,2/5/2021,"86,11,00,951",25
WORTH IT (feat. Don Toliver),WORTH IT (feat. Don Toliver),Offset,10/12/2023,"4,83,39,964",21
Canï¿½ï¿½ï¿½t Catch Me Now - from The Hunger Games: The Ballad of Songbirds & ,Canï¿½ï¿½ï¿½t Catch Me Now (from The Hunger Games: The Ballad of Songbirds & S,Olivia Rodrigo,11/3/2023,"25,98,07,712",52
Solteiro Forï¿½ï¿½ado - (Boiadeira Internacio,Solteiro Forï¿½ï¿½ado (Boiadeira Internacio,Ana Castela,7/7/2023,"21,01,95,998",33
Naina (From "Crew"),Naina (From "Crew") - Single,Diljit Dosanjh,3/5/2024,"6,56,61,355",13
Bel Bont El3areedh,Haflet Al'ahramat 2022 - Egypt,Hussain Aljassmi,12/19/2022,"16,119",16
Naa Ready (From "Leo"),Naa Ready (From "Leo"),Anirudh Ravichander,6/22/2023,"14,24,30,643",15
Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Dï¿½ï¿½jala Que Vuelva (feat. Manuel Tur,Piso 21,10/20/2017,"87,17,80,891",27
Feel the POP,You had me at HELLO,ZEROBASEONE,5/13/2024,"86,99,917",10
Diamonds,Unapologetic (Edited Version),Rihanna,1/1/2012,"1,41,99,12,461",8
Fuera del mercado,@dannocean,Danny Ocean,2/17/2022,"53,50,13,440",15
Poor People We,Poor People We,Harp and a monkey,11/28/2022,"1,071",12
El Cielo,El Cielo - Single,Sky Rompiendo,6/2/2023,"35,40,97,795",7
ALL MY FELLAS,ALL MY FELLAS,Frizk,9/19/2023,"5,69,78,899",11
Bebefinn Song,Bebefinn Song - Single,Pinkfong,5/3/2024,"38,895",12
BITTERSUITE,HIT ME HARD AND SOFT,Billie Eilish,5/17/2024,"5,88,10,212",11
Me Fui de Vacaciones,Un Verano Sin Ti,Bad Bunny,5/6/2022,"36,68,72,354",17
Talk (feat. Disclosure),Talk,Khalid,2/7/2019,"96,81,94,426",18
Rompe La Dompe,Rompe La Dompe,Peso Pluma,12/28/2023,"16,42,19,485",12
greedy sped up,greedy,Tate McRae,9/14/2023,"2,16,48,841",12
Reloj,Reloj,Rauw Alejandro,10/22/2020,"57,97,49,218",5
ýýýýýýýýýýýýýýýýýýýýýýýýýýý,ýýýýýýýýýýýýýýýýýýýýýýýýýýý - Single,ýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,3/22/2024,"27,30,458",0
Youï¿½ï¿½ï¿½re Mines Still (feat. ,Youï¿½ï¿½ï¿½re Mines Still (feat. ,Yung Bleu,10/15/2020,"23,31,39,871",19
BADGYAL,SAKURA,SAIKO,4/26/2024,"5,62,82,981",7
Sorry 4 The Wait,Sorry 4 The Wait,Lil Wayne,1/14/2022,"2,42,85,898",13
DILUVIO,PLAYA SATURNO,Rauw Alejandro,7/7/2023,"31,05,62,790",7
ZEZE (feat. Travis Scott & Offset),ZEZE (feat. Travis Scott & Offset),Kodak Black,10/12/2018,"1,07,06,85,587",25
Kesariya (From "Brahmastra"),Kesariya (From "Brahmastra") - Single,Pritam,7/17/2022,"51,67,40,949",22
The Craving (single version),The Craving (single version) - Single,Twenty One Pilots,5/22/2024,"90,84,595",23
Bartolito,20 GRANDES ï¿½ï¿½X,Duo Tiempo de Sol,10/5/2015,"7,00,61,366",9
Peaches,The Super Mario Bros. Movie (Original Motion Picture Soundtrack),Jack Black,4/7/2023,"14,42,52,786",7
Counting stars,Until the morning 2,OneRepublic,8/4/2014,,13
Take My Breath - Single Version,Take My Breath,The Weeknd,8/5/2021,"46,53,48,362",25
Lavender Haze,Midnights,Taylor Swift,10/21/2022,"71,11,38,043",12
KU LO SA - A COLORS SHOW,KU LO SA - A COLORS SHOW,Oxlade,6/10/2022,"33,14,19,634",17
Toca o Trompete,Cadï¿½ï¿½ o After? P,Felipe Amorim,7/21/2023,"16,67,84,328",13
Nobody Gets Me,SOS,SZA,12/9/2022,"56,16,45,790",12
Sleep Well,Sleep Well - Single,CG5,2/16/2024,"1,92,36,234",9
Hei Apa Apa / Tik Tak Tik Tik,Nuansa Angkot 2023 - Vol. 1,Donny Fernanda,2/14/2023,"12,415",21
Glock In My Lap,SAVAGE MODE II,21 Savage,10/2/2020,"61,46,03,953",12
overseas,overseas,Ken Carson,4/12/2024,"3,59,80,441",8
CORAZï¿½ï¿½N VA,CORAZï¿½ï¿½N VA,Maria Becerra,6/22/2023,"25,14,42,618",8
PUNTO G,Punto G,Quevedo,11/4/2022,"60,00,73,400",6
Muqabla (From "Street Dancer 3D"),Muqabla (From "Street Dancer 3D"),Yash Narvekar,12/21/2019,"10,26,68,822",25
Ditto,Ditto,NewJeans,12/19/2022,"61,44,97,357",5
Katchi Sera - From "Think Indie",Katchi Sera (From "Think Indie"),Sai Abhyankkar,1/22/2024,"6,14,47,714",24
Danza Kuduro - Cover,BEST CLUB 2023 TREND MIX,MUSIC LAB JPN,11/24/2023,"1,64,22,58,500",16
Bubble Gum,How Sweet,NewJeans,5/24/2024,"2,06,30,900",9
Abejita Chiquitita,Las Canciones de Plim Plim Vol. 8,El Payaso Plim Plim,9/8/2023,"57,41,262",17
Love wins all,Love wins all,IU,1/24/2024,"6,09,03,416",11
PRINCESITA DE ...,ýýNFASIS,Jere Klein,12/1/2023,"10,62,90,197",12
Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Lo Siento BB:/ (with Bad Bunny & Julieta Venegas),Tainy,10/5/2021,"91,27,09,169",36
BABY HELLO,BABY HELLO - Single,Rauw Alejandro,6/23/2023,"26,83,83,799",9
ONE CALL,ONE CALL,Rich Amiri,11/3/2023,"27,15,66,931",7
Pehle Bhi Main,ANIMAL,Vishal Mishra,11/24/2023,"23,54,72,222",12
Kill Bill,Kill Bill - Single,pasa michaelson,8/26/2023,"1,84,27,58,768",8
2/Catorce,2/Catorce,Rauw Alejandro,2/14/2021,"53,49,81,600",8
Ride,Ride,Twenty One Pilots,5/12/2015,"1,72,47,66,252",4
Dusk Till Dawn (feat. Sia),Dusk Till Dawn (feat. Sia) - Single,ZAYN,9/8/2017,"76,60,758",19
Rush,Rush,Troye Sivan,7/13/2023,"29,92,91,405",4
Physical,Physical,Dua Lipa,1/30/2020,"96,70,29,446",8
Pumped Up Kicks,Pumped up Kicks,Foster The People,1/1/2010,"1,79,17,78,314",13
Yes Indeed,Yes Indeed,Lil Baby,5/15/2018,"1,11,09,94,645",9
Open Arms (feat. Travis Scott),SOS,SZA,12/8/2022,"41,81,81,065",23
edamame (feat. Rich Brian),edamame,bbno$,7/24/2021,"46,07,70,585",20
Turn Down for What,Turn Down for What,DJ Snake,12/18/2013,"54,72,07,250",15
Calling (feat. A Boogie wit da Hoodie) [Spider-Man: Across the Spider-Verse],METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE),Metro Boomin,6/2/2023,"23,43,50,961",58
Smokin Out The Window,Smokin Out The Window,Bruno Mars,11/5/2021,"46,39,77,298",18
Goin' Off,Goin' Off,Karan Aujla,5/9/2024,"1,36,06,839",7
Close To You,Close To You,Gracie Abrams,6/7/2024,"1,37,00,065",10
Pagli Dekhave Agarbatti,Pagli Dekhave Agarbatti,Neelkamal Singh,9/28/2023,"2,09,81,562",21
From The D To The A (feat. Lil Yachty),From The D To The A (feat. Lil Yachty),Tee Grizzley,3/17/2017,"36,43,25,529",27
Me Rehï¿½ï,Los Nï¿½ï¿½meros 1 De Los 40 (Music Inspires L,Danny Ocean,11/3/2017,"1,77,89,34,858",5
Nonsense,emails i can't send,Sabrina Carpenter,7/15/2022,"81,72,86,460",8
Run It Up (feat. Offset & Moneybagg Yo),Destined 2 Win,Lil Tjay,4/2/2021,"39,27,45,531",28
Lose You To Love Me,Lose You To Love Me,Selena Gomez,10/23/2019,"1,22,22,28,366",15
Worth It,Worth It,YK Osiris,2/8/2019,"34,01,12,388",7
Fight The Feeling,Fight The Feeling,Rod Wave,3/31/2023,"8,63,27,319",15
Axel F,Best of Crazy Hits,Crazy Frog,12/11/2009,"17,85,36,020",5
Robbery,Robbery,Juice WRLD,2/13/2019,"1,30,63,74,052",7
Bebe Dame,Bebe Dame - Single,Fuerza Regida,12/16/2022,"56,20,99,076",8
Green Green Grass,george ezra songs to play when the sun's out,George Ezra,3/22/2022,"30,04,30,813",15
Zihaal e Miskin,Zihaal e Miskin,Javed-Mohsin,5/25/2023,"11,06,44,306",13
Fiel,Los Legendarios 001,Los Legendarios,2/4/2021,"64,25,58,596",4
Neverita,Un Verano Sin Ti,Bad Bunny,5/6/2022,"83,18,68,563",8
2002 - Remix,2002 (Remix),Shaun Reynolds,5/11/2018,"3,03,962",9
No Se Va,No Se Va,Grupo Frontera,12/1/2022,"51,750",6
Infinity,Feel Something,Jaymes Young,6/23/2017,"1,05,99,40,209",8
Popular (with Playboi Carti & Madonna) - Music from the HBO Original Series,The Highlights (Deluxe),The Weeknd,2/5/2021,"81,29,54,133",59
adore u,adore u,Fred again..,8/11/2023,"12,94,27,492",6
Numb Little Bug,Numb Little Bug,Em Beihold,1/28/2022,"36,05,84,207",13
Feel It,Feel It (From The Original Series ï¿½ï¿½ï¿½Invincib,d4vd,3/28/2024,"11,03,77,644",6
Loco Contigo (feat. J. Balvin & Tyga),"Loco Contigo (with J. Balvin, feat. Tyga)",DJ Snake,6/13/2019,"82,26,96,809",26
Faz um Vuk Vuk (Teto Espelhado),Faz um Vuk Vuk (Teto Espelhado),MC Kevin o Chris,7/20/2023,"22,28,79,686",24
Suicidal,Melly vs. Melvin,YNW Melly,11/22/2019,"57,24,41,305",8
Photo (From "Luka Chuppi"),Photo (From "Luka Chuppi"),Karan Sehmbi,2/12/2019,"7,28,49,488",19
Sky,Whole Lotta Red,Playboi Carti,12/25/2020,"71,03,19,373",3
Love On,Love On,Selena Gomez,2/22/2024,"4,58,78,045",6
Payphone,Overexposed Track By Track,Maroon 5,1/1/2012,"1,82,80,26,153",8
Brickell,MANIFESTING 20-05,Feid,4/10/2024,"5,95,46,208",8
I Like Me Better,I Like Me Better,Lauv,5/19/2017,"1,78,43,08,411",13
RUNAWAY,RUNAWAY,OneRepublic,5/26/2023,"12,74,66,467",7
Que Se Cuide,Que Se Cuide,Luis R Conriquez,5/3/2024,"3,61,45,614",10
Astronaut In The Ocean,Astronaut In The Ocean,Masked Wolf,6/7/2019,,19
On My Love,On My Love (Sped Up),Zara Larsson,9/12/2023,"12,80,24,416",8
She Share Story,She Share Story,Shayne Orok,6/2/2020,,13
Mujeriego,Mujeriego - Single,Ryan Castro,12/17/2021,"28,57,23,562",9
Miss The Rage (feat. Playboi Carti),Miss The Rage,Trippie Redd,5/7/2021,"53,56,95,469",27
TUTA GOLD,TUTA GOLD,Mahmood,2/7/2024,"9,50,29,509",8
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"16,19,16,445",30
Dandini Dandini Dastana,"Hey Dostum, ï¿½ï¿",Derya Yildirim,2/10/2023,"12,750",21
Florida!!! (feat. Florence + the Machine),THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"14,01,77,107",29
Legends,Legends,Juice WRLD,6/22/2018,"68,12,82,854",7
Black Beatles,SremmLife 2 (Deluxe),Rae Sremmurd,8/12/2016,"97,20,05,229",12
King Size,Feed Tha Streets III,Roddy Ricch,11/18/2022,"32,48,779",8
Girls Want Girls (with Lil Baby),Certified Lover Boy,Drake,9/3/2021,"45,94,80,135",25
Linger - SiriusXM Session,SiriusXM Session,Royel Otis,5/31/2024,"80,53,814",21
SLOW DANCING IN THE DARK,SLOW DANCING IN THE DARK,Joji,9/12/2018,"1,29,12,44,134",20
BIPOLAR,BIPOLAR,Peso Pluma,9/7/2023,"22,22,95,526",7
Addicted,Addicted (feat. Ink) - Single,Zerb,3/29/2024,"6,31,42,772",8
Besos Moja2,Besos Moja2,Wisin & Yandel,9/29/2022,"41,63,61,102",10
Wake Up in the Sky,Wake Up in the Sky,Gucci Mane,9/14/2018,"99,69,42,947",14
El Chico Del Apartamento 512 - Remasterizado 2024/30th Anniversary,Amor Prohibido (Remasterizado 2024/30th Anniversary),Selena,3/22/2024,"19,54,35,575",56
Papercut,Papercuts,Linkin Park,4/12/2024,"49,72,85,757",8
Chanel,Chanel,Becky G,3/30/2023,"28,78,53,890",6
Otro Trago,Sueï¿½ï,Sech,4/18/2019,"69,30,61,510",9
Back In Blood (feat. Lil Durk),Back In Blood (feat. Lil Durk),Pooh Shiesty,11/6/2020,"37,82,39,461",22
Jugaste y Sufrï¿,Corta Venas,Eslabon Armado,12/18/2020,"49,25,09,763",12
Una Foto Remix (feat. Emilia),Una Foto Remix (feat. Emilia),Mesita,1/5/2024,"20,60,01,461",22
Religiously,Religiously,Bailey Zimmerman,3/17/2023,"22,55,56,005",11
What Happened To Virgil (feat. Gunna),7220,Lil Durk,3/11/2022,"14,48,89,291",29
Hello,Hello,Adele,10/23/2015,"1,55,05,53,401",5
HAY LUPITA,HAY LUPITA - Single,Lomiiel,3/28/2024,"2,26,92,011",9
Gatita,Gatita,Bellakath,10/5/2022,"21,86,61,601",6
World on Fire,NATE SMITH (DELUXE),Nate Smith,4/28/2023,"10,03,60,956",11
Love You Anyway,Love You Anyway,Luke Combs,2/10/2023,"16,45,07,374",13
MOJABI GHOST,DATA,Tainy,6/29/2023,"36,84,29,447",11
N95,Mr. Morale & The Big Steppers,Kendrick Lamar,5/13/2022,"42,69,36,498",3
Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage],HEROES & VILLAINS,Metro Boomin,12/2/2022,"32,56,54,069",42
Volvï¿,La mï¿½ï¿½sica de @Gina Yei: #ConTodoElCorazï¿½ï¿½nYMï¿½ï¿½s (Banda Sono,Didi Romero,1/11/2023,"47,586",4
You're Really Funny,Rly Funny - EP,Crocodyle,11/11/2022,,16
Papercut,Papercuts,Linkin Park,4/12/2024,"49,72,85,757",8
Earned It (Fifty Shades Of Grey),Fifty Shades Of Grey (Original Motion Picture Soundtrack),The Weeknd,2/10/2015,"1,66,70,89,416",25
Gucci Gang,Gucci Gang,Lil Pump,8/31/2017,"64,87,57,330",9
La Bebe,LPM,Yng Lvcas,12/24/2021,"25,57,07,376",6
Jaded,Endless Summer Vacation,Miley Cyrus,3/10/2023,"17,33,49,210",5
Bye,Bye,Peso Pluma,5/26/2023,"25,22,39,644",3
L$d,Deaf 2 Society,Luclover,4/22/2022,"3,46,21,941",2
Wolves,Wolves,Selena Gomez,10/25/2017,"1,35,84,24,406",6
Scars To Your Beautiful,Know-It-All,Alessia Cara,11/13/2015,"1,42,25,63,654",20
FRI(END)S,FRI(END)S,V,3/15/2024,"19,66,12,187",7
Surface Pressure,Encanto (Original Motion Picture Soundtrack),Jessica Darrow,11/19/2021,"31,80,18,082",15
Volver Al Futuro,Volver Al Futuro,Oscar Maydon,5/30/2024,"2,55,93,926",14
Praise God,Donda,Kanye West,8/29/2021,"45,13,23,154",9
Friesenjung,Friesenjung,Ski Aggu,5/25/2023,"15,05,08,549",11
El Azul,El Azul - Single,Junior H,2/10/2023,"68,41,03,586",6
EARFQUAKE,IGOR,"Tyler, The Creator",5/17/2019,"96,25,46,385",9
Ya Supï¿½ï¿½rame (En V,Ya Supï¿½ï¿½rame (En Vivo) - Si,Grupo Firme,8/13/2021,"34,72,18,974",12
if u think i'm pretty,if u think i'm pretty,Artemas,10/24/2023,"21,99,95,278",16
Fin de Semana,Fin de Semana,Oscar Maydon,1/13/2023,"56,88,46,143",11
Everybody (feat. Lil Uzi Vert),Pink Friday 2,Nicki Minaj,12/7/2023,"11,49,47,522",23
Every Breath You Take,Learned from Love,Bonnie Kimmel,5/26/2017,,18
My Oh My (feat. DaBaby),Romance,Camila Cabello,12/6/2019,"70,38,65,912",16
Forever After All,What You See Ain't Always What You Get (Deluxe Edition),Luke Combs,10/23/2020,"47,28,86,929",15
Fried (She a Vibe),WE DON'T TRUST YOU,Future,3/22/2024,"3,32,24,742",13
123 Song,123 Song,D Billions,10/23/2019,"6,28,692",7
Hello (feat. A Boogie Wit da Hoodie),Shoot For The Stars Aim For The Moon (Deluxe),Pop Smoke,7/20/2020,"57,80,61,816",27
Numb,Numb,Marshmello,6/10/2022,"40,10,66,217",4
Ojapiano,Ojapiano - Single,KCee,6/3/2023,"2,74,44,985",8
Area Codes,Area Codes,Kaliii,3/17/2023,"22,82,40,866",9
Medallo,Hecho En Medellï¿½,Blessd,10/27/2021,"45,20,87,681",7
Domingo Abacaxi Flamingo,Domingo Abacaxi Flamingo,Bolofofos,9/2/2020,"1,29,33,566",22
Riptide,Ministry Of Sound Presents Chillout Sessions XVI,Vance Joy,1/1/2013,"2,54,18,33,602",7
Ch y la Pizza,Ch y la Pizza,Fuerza Regida,12/1/2022,"51,14,21,362",10
In Ha Mood,In Ha Mood,Ice Spice,1/6/2023,"19,01,26,590",8
POR QUï¿½ï¿½ SE,POR QUï¿½ï¿½ SE,Grupo Frontera,5/9/2024,"2,99,06,024",7
ALL MINE,WASTELAND,Brent Faiyaz,7/8/2022,"31,50,14,005",7
Let Me Know (I Wonder Why Freestyle),Sucker,Juice WRLD,7/1/2019,"50,35,84,339",28
The Night We Met,The Night We Met,Lord Huron,2/9/2015,"2,09,71,81,065",13
Playa Del Inglï¿½,Playa Del Inglï¿½ï¿½s - Si,Quevedo,12/15/2022,"34,75,58,532",12
BOO!SHUT,BOO!SHUT,PIGGS,3/24/2023,"29,649",7
HOLA PERDIDA REMIX,HOLA PERDIDA REMIX,Luck Ra,5/31/2024,"89,81,282",16
Talk,Talk,Yeat,9/2/2022,"24,20,57,987",4
Now And Then,Now And Then,The Beatles,11/2/2023,"6,68,43,778",10
Sign on the Door,Sign on the Door,Dora Lachaise,3/29/2023,,13
For Life (feat. Zak Abel & Nile Rodgers),For Life (feat. Zak Abel & Nile Rodgers),Kygo,4/19/2024,"3,68,44,307",29
Kya Loge Tum,Kya Loge Tum,B Praak,5/15/2023,"8,97,01,636",10
California Breeze,It's Only Me,Lil Baby,10/14/2022,"11,69,94,951",16
Nonstop,Scorpion,Drake,6/29/2018,"1,11,84,59,427",7
LOVE DIVE,LOVE DIVE,IVE,4/5/2022,"39,79,88,770",8
Alucin,Alucin,Eugenio Esquivel,11/17/2023,"20,71,03,587",6
Go Stupid,Go Stupid,Polo G,2/14/2020,"41,63,88,749",8
POPSTAR (feat. Drake),POPSTAR (feat. Drake),DJ Khaled,7/17/2020,"71,26,64,065",16
Qual ï¿½ï¿½ o seu des,Qual ï¿½ï¿½ seu des,Tz da Coronel,2/29/2024,"7,15,86,678",11
Lovesick Girls,THE ALBUM,BLACKPINK,10/2/2020,"56,17,12,007",13
Solo (feat. Demi Lovato),Solo (feat. Demi Lovato),Clean Bandit,5/17/2018,"1,04,20,65,058",18
Una Vida Pasada,Una Vida Pasada,Camilo,4/2/2024,"5,09,55,386",13
Steven Universe,Steven Universe,L.Dre,2/21/2020,"5,41,04,852",14
places to be,places to be,Fred again..,5/31/2024,"1,15,81,454",10
ASI ES LA VIDA,ASI ES LA VIDA,Enrique Iglesias,9/28/2023,"12,37,76,123",11
Corazï¿½,Corazï¿½,Maluma,11/3/2017,"59,80,40,653",5
Elvira,Elvira,Oscar Maydon,12/20/2023,"18,31,46,334",6
Fantasias,Fantasias,Rauw Alejandro,8/29/2019,"66,35,78,551",9
El Jefe,El Jefe,Shakira,9/20/2023,"12,28,82,453",6
Am,AM,Nio Garcia,1/28/2021,"36,13,57,607",2
Te Lo Agradezco,Te Lo Agradezco,Kany Garcï¿½,7/27/2023,"16,91,62,533",13
PLEBADA,PLEBADA,El Alfa,6/8/2023,"14,86,77,837",7
Danza Kuduro - Cover,CLUB SONG MIX 2023,MUSIC LAB JPN,11/10/2023,"1,65,16,06,290",16
Marea (Weï¿½ï¿½ï¿½ve Lost Da,Marea (Weï¿½ï¿½ï¿½ve Lost Da,Fred again..,2/22/2021,"33,69,43,720",15
Fall In Love,Fall In Love,Bailey Zimmerman,2/11/2022,"26,21,85,115",10
Cupid,The Beginning: Cupid - Single,FIFTY FIFTY,2/24/2023,"21,20,84,990",5
Dj Gamm Gamm Piri Slow,Dj Gamm Gamm Piri Slow,DJ BAHBUS,9/28/2022,"32,014",18
Guilty as Sin?,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"16,56,11,453",11
Waiting For Love,Ibiza Residence 2015,Avicii,1/1/2015,"1,39,79,75,653",14
BOMBï¿½,LEGENDADDY,Daddy Yankee,3/25/2022,"12,93,35,327",4
Hello,Hello,Muramatsu Karaoke,12/4/2015,"3,531",5
EVERY CHANCE I GET (feat. Lil Baby & Lil Durk),KHALED KHALED,DJ Khaled,4/30/2021,"35,29,55,079",33
Mo Bamba,Mo Bamba,Sheck Wes,9/19/2017,"1,05,63,46,890",7
Bank Account,Issa Album,21 Savage,7/6/2017,"1,15,06,53,471",11
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Highlights (Deluxe),The Weeknd,2/5/2021,"93,96,27,795",35
Get You The Moon (feat. Snï¿½ï,Get You The Moon (feat. Snï¿½ï,Kina,10/8/2018,"1,02,04,35,750",19
Never Felt So Alone,Never Felt So Alone,Labrinth,4/7/2023,"26,96,69,185",16
Baile do Bruxo,Baile do Bruxo,Tropa do Bruxo,9/29/2023,"15,59,15,718",12
Love Me JeJe,Love Me JeJe - Single,Tems,4/25/2024,"3,46,21,656",10
Heather,Kid Krow,Conan Gray,3/20/2020,"1,67,50,83,208",7
Come & Go (with Marshmello),Come & Go (with Marshmello),Juice WRLD,7/9/2020,"95,93,13,617",20
Mas Rica Que Ayer,Mas Rica Que Ayer,Anuel AA,3/2/2023,"25,61,12,908",14
Love Again,Future Nostalgia,Dua Lipa,3/27/2020,"66,54,64,734",9
Bï¿½ï¿½cane - A COLORS ,Bï¿½ï¿½cane - A Colors Show - Si,Yamï¿,6/1/2023,"12,05,95,666",12
all of me,american dream,21 Savage,1/12/2024,"8,71,11,207",7
Giving Me,Giving Me,Jazzy,3/10/2023,"15,04,63,218",8
Attitude (feat. Charlie Wilson & Cash Cobain),Attitude (feat. Charlie Wilson & Cash Cobain),Don Toliver,5/22/2024,"1,42,04,736",35
What Do You Mean?,Full Circle: The Live Anthology,Justin Bieber,11/20/2011,"1,59,97,42,798",13
Bailando - English Version,S** AND LOVE,Enrique Iglesias,1/1/2014,"21,82,05,900",22
ýýýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý,ýýýýýýýýýýýý ýýýýýýýýýýýýýýýý ýýýýýýýýýý - Single,Jazzdauren,3/1/2024,"29,02,263",0
TV,Guitar Songs,Billie Eilish,7/21/2022,"57,26,02,278",2
But Daddy I Love Him,THE TORTURED POETS DEPARTMENT,Taylor Swift,4/18/2024,"15,48,19,909",16
Tiroteo - Remix,Tiroteo (Remix),Marc Seguï¿,4/1/2021,"65,49,41,874",12
pushin P (feat. Young Thug),DRIP SEASON 4EVER,Gunna,1/7/2022,"36,81,55,242",20
Take Me to Church,Take Me To Church,Hozier,9/16/2013,"2,54,44,89,950",14
It's You,It's You,Ali Gatie,6/14/2019,"1,12,30,39,235",6
Love Lee,Love Lee,AKMU,8/21/2023,"7,24,68,277",7
Jump,TYLA,Tyla,3/1/2024,"9,53,41,415",4
Venom - Music From The Motion Picture,Kamikaze,Eminem,8/31/2018,"78,82,82,679",30
fantasmas,fantasmas - Single,Humbe,11/20/2023,"8,80,72,335",9
Basit Numaralar,Basit Numaralar,Zerrin ï¿½ï¿,8/4/2023,"5,73,70,965",14
Karma,Midnights,Taylor Swift,10/21/2022,"77,73,05,444",5
The Painter,The Painter - Single,Cody Johnson,8/11/2023,"10,77,54,524",10
Chiky Boom,Chiky Boom,Paylon,11/18/2022,"41,254",9
Me & U,Me & U,Tems,10/5/2023,"10,08,30,964",3
Vista Al Mar,Vista Al Mar,Quevedo,9/9/2022,"51,17,26,944",10
Imagine,Imagine,Carbonne,5/3/2024,"3,58,64,342",7
All The Stars (with SZA),All The Stars (with SZA),Kendrick Lamar,1/4/2018,"1,63,85,29,683",18
Lehanga,Lehanga,Jass Manak,7/25/2019,"4,10,63,045",7
X (feat. Future),Savage Mode,21 Savage,7/15/2016,"58,12,20,786",11
CRAZYZ,Pa las Baby's Y Belikeada,Fuerza Regida,10/20/2023,"20,26,33,616",6
Passionfruit,More Life,Drake,3/18/2017,"1,62,53,07,365",12
Like Crazy,FACE,Jimin,3/24/2023,"1,16,53,98,518",9
I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,I Donï¿½ï¿½ï¿½t Wanna Live Forever (Fifty Shades D,ZAYN,12/9/2016,"1,66,22,88,901",33
What It Is (Solo Version),What It Is (Versions),Doechii,3/17/2023,"30,87,38,277",19
Bad and Boujee (feat. Lil Uzi Vert),Bad and Boujee,Migos,10/28/2016,"93,64,50,891",26
SUBEME LA RADIO (feat. Descemer Bueno & Zion & Lennox),SUBEME LA RADIO,Enrique Iglesias,2/24/2017,"70,61,58,416",40
Soak City (Do it),Soak City (Do it),310babii,6/3/2023,"12,88,55,739",12
The Woo (feat. 50 Cent & Roddy Ricch),Shoot For The Stars Aim For The Moon,Pop Smoke,7/3/2020,"56,06,91,819",26
"yes, and?","yes, and?",Ariana Grande,1/12/2024,"41,68,13,996",6
Cheerleader - Felix Jaehn Remix Radio Edit,Cheerleader (Felix Jaehn Remix) (Radio Edit),OMI,5/20/2014,"1,66,34,91,433",35
Woah (feat. D3Mstreet),Woah,KRYPTO9095,3/29/2019,"9,29,85,109",17
Take You Dancing,Nu King,Jason Derulo,2/16/2024,,14
Wrecking Ball,538 Hitzone Best Of 2013,Miley Cyrus,1/1/2013,"93,00,04,605",12
Stereo Love (TikTok Remix),Stereo Love (TikTok Remix) - Single,DJRemixGod,4/30/2024,"34,86,76,476",21
Stuck with U (with Justin Bieber),Stuck with U,Ariana Grande,5/8/2020,"1,12,05,01,187",26
she's all i wanna be,she's all i wanna be,Tate McRae,2/4/2022,"45,26,28,341",15
Oh My God,30,Adele,11/19/2021,"56,22,00,390",7
Leave Out All The Rest,Papercuts,Linkin Park,4/12/2024,"27,05,90,102",18
